Key;care;harm;fairness;cheating;loyalty;betrayal;authority;subversion;santicty;degradation;liberty;oppression
care;0.0;1.0;0.1;0.9;0.2;0.8;0.5;0.5;0.5;0.5;0.2;0.8
harm;1.0;0.0;0.9;0.1;0.8;0.2;0.5;0.5;0.5;0.5;0.8;0.2
fairness;0.1;0.9;0.0;1.0;0.2;0.8;0.5;0.5;0.5;0.5;0.3;0.7
cheating;0.9;0.1;1.0;0.0;0.8;0.2;0.5;0.5;0.5;0.5;0.7;0.3
loyalty;0.2;0.8;0.2;0.8;0.0;1.0;0.3;0.7;0.5;0.5;0.5;0.5
betrayal;0.8;0.2;0.8;0.2;1.0;0.0;0.7;0.3;0.5;0.5;0.5;0.5
authority;0.5;0.5;0.5;0.5;0.3;0.7;0.0;1.0;0.5;0.5;0.8;0.2
subversion;0.5;0.5;0.5;0.5;0.7;0.3;1.0;0.0;0.5;0.5;0.2;0.8
santicty;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.0;1.0;0.6;0.4
degradation;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;1.0;0.0;0.4;0.6
liberty;0.2;0.8;0.3;0.7;0.5;0.5;0.8;0.2;0.6;0.4;0.0;1.0
oppression;0.8;0.2;0.7;0.3;0.5;0.5;0.2;0.8;0.4;0.6;1.0;0.0
